condition,prime,target
w,Schwefel,Pech
w,Kälte,Hunger
w,Rückkehr,Exil
w,Bedenken,Trotz
w,Buche,Eiche
w,Denker,Lenker
w,Gloria,Glanz
w,Mittel,Zweck
w,Sammler,Jäger
w,Aula,Schule
w,Prügel,Tracht
w,Fabel,Reich
w,Flut,Ebbe
w,Strich,Faden
w,Detail,Teufel
w,Stock,Stein
w,Gunst,Stunde
w,Omega,Alpha
w,Wähler,Stimme
w,Seele,Herz
w,Kabale,Liebe
w,Artikel,Absatz
w,Typ,Diabetes
w,Sieger,Jury
w,Sprecher,Fraktion
w,Ausdauer,Kraft
w,Tafel,Kreide
w,Schauer,Rücken
w,Sturm,Drang
w,Klima,Umwelt
w,Ohr,Knopf
w,Hammer,Sichel
w,Praxis,Arzt
w,Erfolg,Aussicht
w,Lohn,Brot
w,Bäcker,Metzger
w,Metall,Holz
w,Ehe,Schutz
w,Kopf,Schlinge
w,Lob,Kritik
w,Bahre,Wiege
w,Gericht,Recht
w,Messer,Gabel
w,Exempel,Probe
w,Tugend,Pfad
w,Doping,Kampf
w,Dichtung,Wahrheit
w,Schuh,Manitu
w,Kuh,Eis
w,Phönix,Asche
w,Vergehen,Tötung
w,Ansatz,Schritt
w,Indiz,Signal
w,Joghurt,Zimt
w,Schal,Kragen
w,Idol,Vater
w,Schaden,Kosten
w,Sekt,Whiskey
w,Büro,Abteil
w,Gestalt,Statur
w,Hals,Dolch
w,Maschine,Gondel
w,Podest,Podium
w,Chef,Anwalt
w,Baum,Laster
w,Knabe,Junge
w,Pfote,Wange
w,Fete,Gala
w,Eimer,Koffer
w,Omen,Zeichen
w,Deich,Zaun
w,Ruin,Kollaps
w,Skala,Spanne
w,Eile,Vorsicht
w,Neugier,Hingabe
w,Stolz,Ironie
w,Freund,Nazi
w,Zoo,Anhalter
w,Beleg,Grund
w,Zettel,Schild
w,Ziel,Anliegen
w,Geliebte,Verehrer
w,Geschenk,Erlebnis
w,Aspekt,Faktor
w,Konzern,Etat
w,Sumpf,Strudel
w,Hose,Robe
w,Zeug,Gefühl
w,Text,Krimi
w,Satz,Umstand
w,Trost,Ausweg
w,Pfanne,Lauch
w,Konzept,Bild
w,Erbe,Ego
w,Skript,Buch
w,Gelee,Käse
w,Judo,Rugby
w,Anleihen,Aktie
w,Klo,Sofa
w,Reis,Schinken
w,Alibi,Hof
w,Dauer,Hysterie
w,Boot,Bibel
w,Eigentum,Rausch
w,Fehler,Luft
w,Galgen,Fischer
w,Ball,Rache
w,Brenner,Mühe
w,Sex,Gulasch
w,Logik,Oma
w,Mangel,Bär
w,Tür,Pakt
w,Farbe,Ufer
w,Rentner,Tabu
w,Ecke,Wille
w,Keks,Tiefe
w,Kanne,Finger
w,Seife,Kraut
w,Richtung,Spieler
w,Vorlage,Stiel
w,Stadion,Flinte
w,Siegel,Gattung
w,Draht,Hinsicht
w,Glück,Essen
w,Schalter,Magazin
w,Schluck,Legende
w,Urkunde,Klage
w,Putz,Schnabel
w,Speicher,Wischer
w,Quartal,Schlange
w,Ärger,Magnet
w,Nutzen,Entwurf
w,Radar,Verlauf
w,Zimmer,Schwanz
w,Datum,Elch
w,Kolben,Labor
w,Reife,Kanzler
w,Virus,Lawine
w,Rechnung,Intrige
w,Leid,Witz
w,Druck,Sache
w,Risiko,Höhe
w,Iris,Takt
